delay
0
4
0
0
30
0
0
4
0
1
2
1
16
0
0
63
6
3
16
0
11
1
0
0
0
6
0
5
0
17
0
3
0
4
0
11
0
8
3
0
13
0
3
0
1
9
6
0
3
0
0
2
5
0
0
31
0
6
3
2
6
14
0
0
0
15
3
0
0
3
0
2
0
0
6
10
7
8
6
1
1
7
0
8
0
0
30
3
0
0
2
0
2
16
8
0
1
0
9
0
2
4
0
22
0
0
3
0
9
2
0
2
0
2
5
0
5
1
3
0
0
1
0
1
0
1
0
0
0
0
17
0
3
0
0
2
0
0
4
1
5
8
0
2
3
12
2
18
15
3
0
2
0
0
2
7
0
0
5
0
3
0
0
5
0
5
0
0
1
0
0
0
8
0
0
1
0
3
0
14
0
0
5
4
0
0
0
0
2
0
4
4
0
7
3
0
3
0
0
3
0
3
2
0
4
0
3
0
2
26
0
7
6
0
0
4
0
12
4
3
3
3
2
0
9
2
0
19
8
2
7
5
1
0
1
3
0
1
0
1
0
0
0
0
3
3
14
1
0
5
0
3
0
2
0
1
0
0
0
0
3
4
0
3
0
0
5
0
6
3
0
4
0
8
0
2
0
3
0
3
0
2
9
6
1
0
0
10
7
2
3
4
0
1
1
3
1
0
11
0
0
8
2
67
7
5
2
4
1
4
2
13
3
0
3
3
0
0
7
2
6
0
4
0
6
0
3
0
3
5
0
5
0
11
0
3
16
1
4
3
0
5
0
1
2
1
3
19
4
0
0
2
0
0
2
25
9
0
0
3
1
10
1
0
11
0
8
0
5
1
0
2
0
0
1
3
0
1
0
0
3
0
8
8
1
4
0
0
3
1
0
5
0
4
1
0
3
0
0
0
4
2
3
4
0
7
0
0
0
2
0
29
2
0
5
0
10
5
0
4
0
0
1
0
2
18
2
0
7
3
1
1
2
0
0
0
7
0
0
18
0
14
34
0
3
0
0
2
0
1
3
24
25
3
0
0
12
3
0
17
3
0
0
0
5
6
1
1
0
0
0
0
0
1
0
4
8
0
0
0
0
8
6
0
0
2
0
0
0
0
0
0
1
4
0
0
0
21
0
0
0
0
1
7
0
5
0
0
0
7
3
0
2
0
0
0
6
12
0
11
3
1
0
0
1
0
0
0
11
1
8
0
0
0
0
0
0
3
3
0
0
0
0
4
4
1
14
30
4
2
11
8
5
0
0
0
2
6
5
14
2
0
0
6
0
0
0
0
0
0
0
0
2
0
0
0
0
0
0
1
0
0
0
0
4
0
3
0
0
17
8
5
6
13
10
31
0
4
6
0
4
0
17
23
6
0
3
0
5
2
3
10
5
2
2
10
0
5
0
3
2
0
3
1
0
30
6
0
2
0
0
3
1
0
4
0
1
1
26
8
3
6
2
0
14
0
0
5
0
0
0
0
2
2
12
0
3
0
6
0
0
0
2
0
6
2
0
2
0
2
35
0
13
6
1
0
3
0
21
6
1
0
9
0
0
1
0
2
29
0
4
1
2
7
0
0
1
0
3
0
2
0
5
0
5
0
3
0
3
4
2
0
0
6
3
21
0
1
0
3
0
0
0
0
0
0
0
0
0
4
0
21
0
0
0
0
17
44
0
0
1
2
0
0
0
1
0
1
0
0
1
0
0
0
1
0
4
0
9
2
15
2
11
0
0
5
0
8
5
3
38
43
11
8
7
2
2
8
3
0
2
0
0
3
0
8
0
0
0
0
0
6
0
9
8
0
1
0
2
0
1
2
2
0
1
4
0
2
0
0
0
0
0
2
0
2
2
0
2
0
0
0
0
0
0
0
11
0
0
0
0
2
1
1
7
22
2
0
0
2
0
0
2
1
0
0
1
0
2
1
0
0
0
0
0
1
1
0
0
3
0
6
7
0
1
0
0
0
0
11
4
0
4
4
4
1
0
4
3
6
0
4
5
0
2
0
0
4
1
4
0
1
2
0
0
1
0
5
4
0
1
0
0
0
0
7
3
0
3
0
0
0
1
1
5
0
0
10
0
14
4
0
4
5
0
4
8
27
0
4
5
3
2
6
0
3
0
2
0
1
2
0
0
0
0
8
1
4
2
0
4
0
0
0
0
2
1
0
0
1
0
5
0
5
2
0
2
7
11
0
4
0
0
2
0
0
5
3
6
1
1
7
0
4
0
1
2
3
0
7
0
17
20
19
0
0
7
5
