index,train_id,stop_sequence,from,from_id,to,to_id,delay_minutes,status,line,type,scheduled_date,scheduled_time,actual_date,actual_time,week_day
1191396,5152,15.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,3.0,estimated,Raritan Valley,NJ Transit,2019-12-03,21:13:00,2019-12-03,21:16:00,Tue
1195027,5126,16.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,0.0,estimated,Raritan Valley,NJ Transit,2019-12-03,10:09:00,2019-12-03,10:08:00,Tue
1195304,5132,15.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,0.0,estimated,Raritan Valley,NJ Transit,2019-12-03,12:12:00,2019-12-03,12:11:00,Tue
1195647,5150,15.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,0.0,estimated,Raritan Valley,NJ Transit,2019-12-03,20:02:00,2019-12-03,20:01:00,Tue
1195779,5134,15.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,2.0000000000000004,estimated,Raritan Valley,NJ Transit,2019-12-03,13:12:00,2019-12-03,13:14:00,Tue
1198949,5154,15.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,0.0,estimated,Raritan Valley,NJ Transit,2019-12-04,22:10:00,2019-12-04,22:09:00,Wed
1199725,5152,15.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,0.0,estimated,Raritan Valley,NJ Transit,2019-12-04,21:13:00,2019-12-04,21:12:00,Wed
1200085,5170,20.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,3.0,estimated,Raritan Valley,NJ Transit,2019-12-04,11:10:00,2019-12-04,11:13:00,Wed
1201058,5176,21.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,20.0,estimated,Raritan Valley,NJ Transit,2019-12-04,14:13:00,2019-12-04,14:33:00,Wed
1203525,5150,15.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,0.0,estimated,Raritan Valley,NJ Transit,2019-12-04,20:02:00,2019-12-04,20:01:00,Wed
1203833,5132,15.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,0.0,estimated,Raritan Valley,NJ Transit,2019-12-04,12:12:00,2019-12-04,12:11:00,Wed
1204723,5134,15.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,0.0,estimated,Raritan Valley,NJ Transit,2019-12-04,13:12:00,2019-12-04,13:11:00,Wed
1205365,5126,16.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,0.0,estimated,Raritan Valley,NJ Transit,2019-12-04,10:09:00,2019-12-04,10:08:00,Wed
1207386,5152,15.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,0.0,estimated,Raritan Valley,NJ Transit,2019-12-05,21:13:00,2019-12-05,21:13:00,Thu
1208148,5154,15.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,0.0,estimated,Raritan Valley,NJ Transit,2019-12-05,22:10:00,2019-12-05,22:09:00,Thu
1210498,5176,21.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,0.0,estimated,Raritan Valley,NJ Transit,2019-12-05,14:13:00,2019-12-05,14:12:00,Thu
1211392,5170,20.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,0.0,estimated,Raritan Valley,NJ Transit,2019-12-05,11:10:00,2019-12-05,11:09:00,Thu
1211595,5134,15.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,0.0,estimated,Raritan Valley,NJ Transit,2019-12-05,13:12:00,2019-12-05,13:11:00,Thu
1212456,5132,15.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,0.0,estimated,Raritan Valley,NJ Transit,2019-12-05,12:12:00,2019-12-05,12:11:00,Thu
1212776,5150,15.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,0.0,estimated,Raritan Valley,NJ Transit,2019-12-05,20:02:00,2019-12-05,20:01:00,Thu
1215725,5126,16.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,0.0,estimated,Raritan Valley,NJ Transit,2019-12-05,10:09:00,2019-12-05,10:08:00,Thu
1217600,5126,16.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,0.0,estimated,Raritan Valley,NJ Transit,2019-12-06,10:09:00,2019-12-06,10:08:00,Fri
1220295,5132,15.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,0.0,estimated,Raritan Valley,NJ Transit,2019-12-06,12:12:00,2019-12-06,12:11:00,Fri
1220602,5150,15.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,0.0,estimated,Raritan Valley,NJ Transit,2019-12-06,20:02:00,2019-12-06,20:01:00,Fri
1220766,5134,15.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,0.0,estimated,Raritan Valley,NJ Transit,2019-12-06,13:12:00,2019-12-06,13:11:00,Fri
1221890,5170,20.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,19.0,estimated,Raritan Valley,NJ Transit,2019-12-06,11:10:00,2019-12-06,11:29:00,Fri
1222235,5176,21.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,0.0,estimated,Raritan Valley,NJ Transit,2019-12-06,14:13:00,2019-12-06,14:12:00,Fri
1225099,5154,15.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,0.0,estimated,Raritan Valley,NJ Transit,2019-12-06,22:10:00,2019-12-06,22:09:00,Fri
1225626,5152,15.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,1.0000000000000002,estimated,Raritan Valley,NJ Transit,2019-12-06,21:13:00,2019-12-06,21:14:00,Fri
1235942,5154,15.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,4.000000000000001,estimated,Raritan Valley,NJ Transit,2019-12-09,22:10:00,2019-12-09,22:14:00,Mon
1236431,5152,15.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,11.0,estimated,Raritan Valley,NJ Transit,2019-12-09,21:13:00,2019-12-09,21:24:00,Mon
1239423,5170,20.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,0.0,estimated,Raritan Valley,NJ Transit,2019-12-09,11:10:00,2019-12-09,11:10:00,Mon
1239811,5176,21.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,0.0,estimated,Raritan Valley,NJ Transit,2019-12-09,14:13:00,2019-12-09,14:12:00,Mon
