level_0,index,train_id,stop_sequence,from,from_id,to,to_id,delay_minutes,status,line,type,scheduled_date,scheduled_time,actual_date,actual_time,week_day
3958455,4415949,6928,19.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,0.0,estimated,Morristown Line,NJ Transit,2018-04-29,16:39:00,2018-04-29,16:38:00,Sun
3958920,4416449,6918,20.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,0.0,estimated,Morristown Line,NJ Transit,2018-04-29,11:39:00,2018-04-29,11:38:00,Sun
3958995,4416531,6920,20.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,0.0,estimated,Morristown Line,NJ Transit,2018-04-29,12:40:00,2018-04-29,12:39:00,Sun
3959185,4416749,6942,19.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,0.0,estimated,Morristown Line,NJ Transit,2018-04-29,23:39:00,2018-04-29,23:39:00,Sun
3959979,4417623,6934,19.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,4.0,estimated,Morristown Line,NJ Transit,2018-04-29,19:39:00,2018-04-29,19:43:00,Sun
3960296,4417989,6932,20.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,1.0,estimated,Morristown Line,NJ Transit,2018-04-29,18:39:00,2018-04-29,18:40:00,Sun
3961450,4419244,6332,10.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,5.0,estimated,Morristown Line,NJ Transit,2018-04-30,11:19:00,2018-04-30,11:24:00,Mon
3961680,4419489,6612,12.0,Maplewood,81.0,New York Penn Station,105.0,2.0,estimated,Morristown Line,NJ Transit,2018-04-30,07:32:00,2018-04-30,07:34:00,Mon
3961845,4419669,6624,14.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,8.0,estimated,Morristown Line,NJ Transit,2018-04-30,09:31:00,2018-04-30,09:39:00,Mon
3961905,4419741,6670,16.0,Newark Broad Street,106.0,New York Penn Station,105.0,6.0,estimated,Morristown Line,NJ Transit,2018-04-30,20:27:00,2018-04-30,20:33:00,Mon
3962009,4419845,6648,16.0,Newark Broad Street,106.0,New York Penn Station,105.0,2.0,estimated,Morristown Line,NJ Transit,2018-04-30,15:24:00,2018-04-30,15:26:00,Mon
3962326,4420189,6614,10.0,Newark Broad Street,106.0,New York Penn Station,105.0,0.0,estimated,Morristown Line,NJ Transit,2018-04-30,08:05:00,2018-04-30,08:04:00,Mon
3962577,4420448,6640,17.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,6.0,estimated,Morristown Line,NJ Transit,2018-04-30,13:27:00,2018-04-30,13:33:00,Mon
3962632,4420503,6676,17.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,0.0,estimated,Morristown Line,NJ Transit,2018-04-30,23:02:00,2018-04-30,23:02:00,Mon
3962810,4420685,6654,17.0,Newark Broad Street,106.0,New York Penn Station,105.0,2.0,estimated,Morristown Line,NJ Transit,2018-04-30,16:52:00,2018-04-30,16:54:00,Mon
3962939,4420822,6662,16.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,2.0,estimated,Morristown Line,NJ Transit,2018-04-30,18:15:00,2018-04-30,18:17:00,Mon
3963143,4421043,6636,18.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,0.0,estimated,Morristown Line,NJ Transit,2018-04-30,12:21:00,2018-04-30,12:20:00,Mon
3963365,4421278,6664,16.0,Newark Broad Street,106.0,New York Penn Station,105.0,0.0,estimated,Morristown Line,NJ Transit,2018-04-30,18:42:00,2018-04-30,18:41:00,Mon
3963674,4421587,6606,14.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,0.0,estimated,Morristown Line,NJ Transit,2018-04-30,06:56:00,2018-04-30,06:56:00,Mon
3964090,4422044,6328,9.0,Newark Broad Street,106.0,New York Penn Station,105.0,2.0,estimated,Morristown Line,NJ Transit,2018-04-30,10:40:00,2018-04-30,10:42:00,Mon
