index,train_id,stop_sequence,from,from_id,to,to_id,delay_minutes,status,line,type,scheduled_date,scheduled_time,actual_date,actual_time,week_day
2690419,6662,16.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,6.0,estimated,Morristown Line,NJ Transit,2018-08-06,18:15:00,2018-08-06,18:21:00,Mon
2690580,6654,17.0,Newark Broad Street,106.0,New York Penn Station,105.0,0.0,estimated,Morristown Line,NJ Transit,2018-08-06,16:52:00,2018-08-06,16:51:00,Mon
2690886,6636,18.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,4.0,estimated,Morristown Line,NJ Transit,2018-08-06,12:21:00,2018-08-06,12:25:00,Mon
2691561,6676,17.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,0.0,estimated,Morristown Line,NJ Transit,2018-08-06,23:02:00,2018-08-06,23:01:00,Mon
2691610,6640,17.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,0.0,estimated,Morristown Line,NJ Transit,2018-08-06,13:27:00,2018-08-06,13:26:00,Mon
2691727,6624,14.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,4.0,estimated,Morristown Line,NJ Transit,2018-08-06,09:31:00,2018-08-06,09:35:00,Mon
2691945,6612,12.0,Maplewood,81.0,New York Penn Station,105.0,3.0,estimated,Morristown Line,NJ Transit,2018-08-06,07:32:00,2018-08-06,07:35:00,Mon
2692164,6648,16.0,Newark Broad Street,106.0,New York Penn Station,105.0,0.0,estimated,Morristown Line,NJ Transit,2018-08-06,15:24:00,2018-08-06,15:24:00,Mon
2692205,6670,16.0,Newark Broad Street,106.0,New York Penn Station,105.0,0.0,estimated,Morristown Line,NJ Transit,2018-08-06,20:27:00,2018-08-06,20:26:00,Mon
2692735,6332,10.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,1.0,estimated,Morristown Line,NJ Transit,2018-08-06,11:19:00,2018-08-06,11:20:00,Mon
2693512,6668,15.0,Newark Broad Street,106.0,New York Penn Station,105.0,0.0,estimated,Morristown Line,NJ Transit,2018-08-07,19:54:00,2018-08-07,19:53:00,Tue
2693556,6650,18.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,0.0,estimated,Morristown Line,NJ Transit,2018-08-07,16:11:00,2018-08-07,16:11:00,Tue
2693668,6666,15.0,Newark Broad Street,106.0,New York Penn Station,105.0,0.0,estimated,Morristown Line,NJ Transit,2018-08-07,19:14:00,2018-08-07,19:13:00,Tue
2693900,6632,12.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,8.0,estimated,Morristown Line,NJ Transit,2018-08-07,11:26:00,2018-08-07,11:34:00,Tue
2693962,6604,18.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,0.0,estimated,Morristown Line,NJ Transit,2018-08-07,06:29:00,2018-08-07,06:28:00,Tue
2694201,6658,18.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,0.0,estimated,Morristown Line,NJ Transit,2018-08-07,17:31:00,2018-08-07,17:30:00,Tue
2694293,6656,12.0,Newark Broad Street,106.0,New York Penn Station,105.0,0.0,estimated,Morristown Line,NJ Transit,2018-08-07,17:03:00,2018-08-07,17:02:00,Tue
2694339,6602,18.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,2.0,estimated,Morristown Line,NJ Transit,2018-08-07,05:44:00,2018-08-07,05:46:00,Tue
2694715,6314,5.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,0.0,estimated,Morristown Line,NJ Transit,2018-08-07,08:01:00,2018-08-07,08:00:00,Tue
2695338,6324,7.0,Newark Broad Street,106.0,New York Penn Station,105.0,1.0,estimated,Morristown Line,NJ Transit,2018-08-07,09:42:00,2018-08-07,09:43:00,Tue
2697150,6616,11.0,Newark Broad Street,106.0,New York Penn Station,105.0,10.0,estimated,Morristown Line,NJ Transit,2018-08-07,08:26:00,2018-08-07,08:36:00,Tue
2697328,6620,10.0,South Orange,140.0,New York Penn Station,105.0,10.0,estimated,Morristown Line,NJ Transit,2018-08-07,08:55:00,2018-08-07,09:05:00,Tue
