level_0,index,train_id,stop_sequence,from,from_id,to,to_id,delay_minutes,status,line,type,scheduled_date,scheduled_time,actual_date,actual_time,week_day
375829,426650,6200,9.0,Newark Broad Street,106.0,New York Penn Station,105.0,0.0,estimated,Montclair-Boonton,NJ Transit,2019-02-26,05:32:00,2019-02-26,05:31:00,Tue
375870,426695,6238,13.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,0.0,estimated,Montclair-Boonton,NJ Transit,2019-02-26,14:49:00,2019-02-26,14:48:00,Tue
378401,429572,6226,13.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,0.0,estimated,Montclair-Boonton,NJ Transit,2019-02-26,11:52:00,2019-02-26,11:51:00,Tue
378473,429644,6210,11.0,Watsessing Avenue,154.0,New York Penn Station,105.0,3.0,estimated,Montclair-Boonton,NJ Transit,2019-02-26,08:20:00,2019-02-26,08:23:00,Tue
378541,429727,6274,13.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,0.0,estimated,Montclair-Boonton,NJ Transit,2019-02-26,22:05:00,2019-02-26,22:04:00,Tue
378732,429939,6242,13.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,0.0,estimated,Montclair-Boonton,NJ Transit,2019-02-26,15:48:00,2019-02-26,15:47:00,Tue
378784,429995,6216,13.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,2.0,estimated,Montclair-Boonton,NJ Transit,2019-02-26,09:50:00,2019-02-26,09:52:00,Tue
378946,430193,6202,13.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,0.0,estimated,Montclair-Boonton,NJ Transit,2019-02-26,06:04:00,2019-02-26,06:03:00,Tue
379117,430372,6234,13.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,3.0,estimated,Montclair-Boonton,NJ Transit,2019-02-26,13:42:00,2019-02-26,13:45:00,Tue
379314,430576,6258,13.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,0.0,estimated,Montclair-Boonton,NJ Transit,2019-02-26,19:03:00,2019-02-26,18:59:00,Tue
379596,430894,6204,12.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,0.0,estimated,Montclair-Boonton,NJ Transit,2019-02-26,06:46:00,2019-02-26,06:45:00,Tue
381135,432642,6248,13.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,7.0,estimated,Montclair-Boonton,NJ Transit,2019-02-27,17:10:00,2019-02-27,17:17:00,Wed
381202,432728,6270,13.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,0.0,estimated,Montclair-Boonton,NJ Transit,2019-02-27,21:00:00,2019-02-27,20:59:00,Wed
381573,433178,6278,11.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,10.0,estimated,Montclair-Boonton,NJ Transit,2019-02-27,23:16:00,2019-02-27,23:26:00,Wed
381722,433336,6214,12.0,Newark Broad Street,106.0,New York Penn Station,105.0,9.0,estimated,Montclair-Boonton,NJ Transit,2019-02-27,08:59:00,2019-02-27,09:08:00,Wed
381792,433409,6222,13.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,0.0,estimated,Montclair-Boonton,NJ Transit,2019-02-27,10:56:00,2019-02-27,10:56:00,Wed
383811,435775,6238,13.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,3.0,estimated,Montclair-Boonton,NJ Transit,2019-02-27,14:49:00,2019-02-27,14:52:00,Wed
383838,435806,6200,9.0,Newark Broad Street,106.0,New York Penn Station,105.0,0.0,estimated,Montclair-Boonton,NJ Transit,2019-02-27,05:32:00,2019-02-27,05:31:00,Wed
384286,436317,6230,13.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,0.0,estimated,Montclair-Boonton,NJ Transit,2019-02-27,12:44:00,2019-02-27,12:43:00,Wed
384480,436560,6206,12.0,Newark Broad Street,106.0,New York Penn Station,105.0,0.0,estimated,Montclair-Boonton,NJ Transit,2019-02-27,07:40:00,2019-02-27,07:39:00,Wed
384586,436694,6252,11.0,Newark Broad Street,106.0,New York Penn Station,105.0,0.0,estimated,Montclair-Boonton,NJ Transit,2019-02-27,17:57:00,2019-02-27,17:56:00,Wed
384844,436967,6264,13.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,4.0,estimated,Montclair-Boonton,NJ Transit,2019-02-27,20:16:00,2019-02-27,20:20:00,Wed
385015,437161,6216,13.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,0.0,estimated,Montclair-Boonton,NJ Transit,2019-02-27,09:50:00,2019-02-27,09:49:00,Wed
385044,437190,6242,13.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,0.0,estimated,Montclair-Boonton,NJ Transit,2019-02-27,15:48:00,2019-02-27,15:47:00,Wed
385289,437479,6274,13.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,7.0,estimated,Montclair-Boonton,NJ Transit,2019-02-27,22:05:00,2019-02-27,22:12:00,Wed
385319,437509,6280,11.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,5.0,estimated,Montclair-Boonton,NJ Transit,2019-02-28,00:04:00,2019-02-28,00:09:00,Thu
385379,437569,6210,11.0,Watsessing Avenue,154.0,New York Penn Station,105.0,6.0,estimated,Montclair-Boonton,NJ Transit,2019-02-27,08:20:00,2019-02-27,08:26:00,Wed
385405,437600,6226,13.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,3.0,estimated,Montclair-Boonton,NJ Transit,2019-02-27,11:52:00,2019-02-27,11:55:00,Wed
388060,440527,6204,12.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,0.0,estimated,Montclair-Boonton,NJ Transit,2019-02-27,06:46:00,2019-02-27,06:45:00,Wed
388346,440882,6258,13.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,23.0,estimated,Montclair-Boonton,NJ Transit,2019-02-27,19:03:00,2019-02-27,19:26:00,Wed
388563,441099,6234,13.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,34.0,estimated,Montclair-Boonton,NJ Transit,2019-02-27,13:42:00,2019-02-27,14:16:00,Wed
388666,441211,6202,13.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,21.0,estimated,Montclair-Boonton,NJ Transit,2019-02-27,06:04:00,2019-02-27,06:25:00,Wed
388972,441595,6204,12.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,0.0,estimated,Montclair-Boonton,NJ Transit,2019-02-28,06:46:00,2019-02-28,06:45:00,Thu
389315,441970,6258,13.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,0.0,estimated,Montclair-Boonton,NJ Transit,2019-02-28,19:03:00,2019-02-28,18:59:00,Thu
389446,442105,6234,13.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,10.0,estimated,Montclair-Boonton,NJ Transit,2019-02-28,13:42:00,2019-02-28,13:52:00,Thu
389567,442235,6202,13.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,0.0,estimated,Montclair-Boonton,NJ Transit,2019-02-28,06:04:00,2019-02-28,06:03:00,Thu
391817,444693,6216,13.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,2.0,estimated,Montclair-Boonton,NJ Transit,2019-02-28,09:50:00,2019-02-28,09:52:00,Thu
391882,444762,6242,13.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,0.0,estimated,Montclair-Boonton,NJ Transit,2019-02-28,15:48:00,2019-02-28,15:47:00,Thu
392098,445006,6274,13.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,0.0,estimated,Montclair-Boonton,NJ Transit,2019-02-28,22:05:00,2019-02-28,22:04:00,Thu
392132,445040,6210,11.0,Watsessing Avenue,154.0,New York Penn Station,105.0,6.0,estimated,Montclair-Boonton,NJ Transit,2019-02-28,08:20:00,2019-02-28,08:26:00,Thu
392183,445091,6226,13.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,14.0,estimated,Montclair-Boonton,NJ Transit,2019-02-28,11:52:00,2019-02-28,12:06:00,Thu
392470,445417,6238,13.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,0.0,estimated,Montclair-Boonton,NJ Transit,2019-02-28,14:49:00,2019-02-28,14:48:00,Thu
392510,445473,6200,9.0,Newark Broad Street,106.0,New York Penn Station,105.0,0.0,estimated,Montclair-Boonton,NJ Transit,2019-02-28,05:32:00,2019-02-28,05:31:00,Thu
392939,445970,6230,13.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,11.0,estimated,Montclair-Boonton,NJ Transit,2019-02-28,12:44:00,2019-02-28,12:55:00,Thu
393151,446228,6206,12.0,Newark Broad Street,106.0,New York Penn Station,105.0,4.0,estimated,Montclair-Boonton,NJ Transit,2019-02-28,07:40:00,2019-02-28,07:44:00,Thu
393217,446294,6252,11.0,Newark Broad Street,106.0,New York Penn Station,105.0,1.0,estimated,Montclair-Boonton,NJ Transit,2019-02-28,17:57:00,2019-02-28,17:58:00,Thu
393468,446566,6264,13.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,2.0,estimated,Montclair-Boonton,NJ Transit,2019-02-28,20:16:00,2019-02-28,20:18:00,Thu
395737,449204,6248,13.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,0.0,estimated,Montclair-Boonton,NJ Transit,2019-02-28,17:10:00,2019-02-28,17:10:00,Thu
395847,449335,6270,13.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,0.0,estimated,Montclair-Boonton,NJ Transit,2019-02-28,21:00:00,2019-02-28,20:59:00,Thu
396211,449769,6278,11.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,0.0,estimated,Montclair-Boonton,NJ Transit,2019-02-28,23:16:00,2019-02-28,23:15:00,Thu
396346,449910,6214,12.0,Newark Broad Street,106.0,New York Penn Station,105.0,8.0,estimated,Montclair-Boonton,NJ Transit,2019-02-28,08:59:00,2019-02-28,09:07:00,Thu
396399,449967,6222,13.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,36.0,estimated,Montclair-Boonton,NJ Transit,2019-02-28,10:56:00,2019-02-28,11:32:00,Thu
396452,450041,6264,13.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,0.0,estimated,Montclair-Boonton,NJ Transit,2019-03-01,20:16:00,2019-03-01,20:16:00,Fri
396726,450370,6252,11.0,Newark Broad Street,106.0,New York Penn Station,105.0,4.0,estimated,Montclair-Boonton,NJ Transit,2019-03-01,17:57:00,2019-03-01,18:01:00,Fri
396822,450504,6206,12.0,Newark Broad Street,106.0,New York Penn Station,105.0,7.0,estimated,Montclair-Boonton,NJ Transit,2019-03-01,07:40:00,2019-03-01,07:47:00,Fri
396928,450622,6230,13.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,0.0,estimated,Montclair-Boonton,NJ Transit,2019-03-01,12:44:00,2019-03-01,12:43:00,Fri
397432,451208,6200,9.0,Newark Broad Street,106.0,New York Penn Station,105.0,14.0,estimated,Montclair-Boonton,NJ Transit,2019-03-01,05:32:00,2019-03-01,05:46:00,Fri
397473,451253,6238,13.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,0.0,estimated,Montclair-Boonton,NJ Transit,2019-03-01,14:49:00,2019-03-01,14:48:00,Fri
399664,453825,6222,13.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,4.0,estimated,Montclair-Boonton,NJ Transit,2019-03-01,10:56:00,2019-03-01,11:00:00,Fri
399693,453858,6214,12.0,Newark Broad Street,106.0,New York Penn Station,105.0,2.0,estimated,Montclair-Boonton,NJ Transit,2019-03-01,08:59:00,2019-03-01,09:01:00,Fri
399843,454013,6278,11.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,0.0,estimated,Montclair-Boonton,NJ Transit,2019-03-01,23:16:00,2019-03-01,23:15:00,Fri
400227,454505,6270,13.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,0.0,estimated,Montclair-Boonton,NJ Transit,2019-03-01,21:00:00,2019-03-01,20:59:00,Fri
400291,454577,6248,13.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,0.0,estimated,Montclair-Boonton,NJ Transit,2019-03-01,17:10:00,2019-03-01,17:09:00,Fri
400576,454906,6202,13.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,0.0,estimated,Montclair-Boonton,NJ Transit,2019-03-01,06:04:00,2019-03-01,06:03:00,Fri
400734,455067,6234,13.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,0.0,estimated,Montclair-Boonton,NJ Transit,2019-03-01,13:42:00,2019-03-01,13:41:00,Fri
400931,455288,6258,13.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,1.0,estimated,Montclair-Boonton,NJ Transit,2019-03-01,19:03:00,2019-03-01,19:04:00,Fri
401226,455623,6204,12.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,0.0,estimated,Montclair-Boonton,NJ Transit,2019-03-01,06:46:00,2019-03-01,06:46:00,Fri
403955,458684,6226,13.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,0.0,estimated,Montclair-Boonton,NJ Transit,2019-03-01,11:52:00,2019-03-01,11:52:00,Fri
403996,458725,6210,11.0,Watsessing Avenue,154.0,New York Penn Station,105.0,6.0,estimated,Montclair-Boonton,NJ Transit,2019-03-01,08:20:00,2019-03-01,08:26:00,Fri
404089,458829,6274,13.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,0.0,estimated,Montclair-Boonton,NJ Transit,2019-03-01,22:05:00,2019-03-01,22:04:00,Fri
404100,458840,6280,11.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,0.0,estimated,Montclair-Boonton,NJ Transit,2019-03-02,00:04:00,2019-03-02,00:03:00,Sat
404308,459091,6242,13.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,0.0,estimated,Montclair-Boonton,NJ Transit,2019-03-01,15:48:00,2019-03-01,15:47:00,Fri
404349,459132,6216,13.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,0.0,estimated,Montclair-Boonton,NJ Transit,2019-03-01,09:50:00,2019-03-01,09:49:00,Fri
