index,train_id,stop_sequence,from,from_id,to,to_id,delay_minutes,status,line,type,scheduled_date,scheduled_time,actual_date,actual_time,week_day
2176831,6216,13.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,0.0,estimated,Montclair-Boonton,NJ Transit,2019-05-03,09:50:00,2019-05-03,09:49:00,Fri
2179500,6202,13.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,0.0,estimated,Montclair-Boonton,NJ Transit,2019-05-03,06:04:00,2019-05-03,06:03:00,Fri
2179688,6234,13.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,2.0000000000000004,estimated,Montclair-Boonton,NJ Transit,2019-05-03,13:42:00,2019-05-03,13:44:00,Fri
2179817,6258,13.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,6.0,estimated,Montclair-Boonton,NJ Transit,2019-05-03,19:03:00,2019-05-03,19:09:00,Fri
2180221,6204,12.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,0.0,estimated,Montclair-Boonton,NJ Transit,2019-05-03,06:46:00,2019-05-03,06:46:00,Fri
2191544,6226,13.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,0.0,estimated,Montclair-Boonton,NJ Transit,2019-05-06,11:52:00,2019-05-06,11:51:00,Mon
2191610,6210,11.0,Watsessing Avenue,154.0,New York Penn Station,105.0,4.000000000000001,estimated,Montclair-Boonton,NJ Transit,2019-05-06,08:20:00,2019-05-06,08:24:00,Mon
2191671,6274,13.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,4.000000000000001,estimated,Montclair-Boonton,NJ Transit,2019-05-06,22:05:00,2019-05-06,22:09:00,Mon
2191701,6280,11.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,3.0,estimated,Montclair-Boonton,NJ Transit,2019-05-07,00:04:00,2019-05-07,00:07:00,Tue
2191904,6242,13.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,0.0,estimated,Montclair-Boonton,NJ Transit,2019-05-06,15:48:00,2019-05-06,15:47:00,Mon
2191998,6216,13.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,1.0000000000000002,estimated,Montclair-Boonton,NJ Transit,2019-05-06,09:50:00,2019-05-06,09:51:00,Mon
2192181,6202,13.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,0.0,estimated,Montclair-Boonton,NJ Transit,2019-05-06,06:04:00,2019-05-06,06:03:00,Mon
2192385,6234,13.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,0.0,estimated,Montclair-Boonton,NJ Transit,2019-05-06,13:42:00,2019-05-06,13:41:00,Mon
2192504,6258,13.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,0.0,estimated,Montclair-Boonton,NJ Transit,2019-05-06,19:03:00,2019-05-06,19:01:00,Mon
2192901,6204,12.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,0.0,estimated,Montclair-Boonton,NJ Transit,2019-05-06,06:46:00,2019-05-06,06:45:00,Mon
2195797,6222,13.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,2.0000000000000004,estimated,Montclair-Boonton,NJ Transit,2019-05-06,10:56:00,2019-05-06,10:58:00,Mon
2195811,6214,12.0,Newark Broad Street,106.0,New York Penn Station,105.0,4.000000000000001,estimated,Montclair-Boonton,NJ Transit,2019-05-06,08:59:00,2019-05-06,09:03:00,Mon
2195991,6278,11.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,0.0,estimated,Montclair-Boonton,NJ Transit,2019-05-06,23:16:00,2019-05-06,23:15:00,Mon
