level_0,index,train_id,stop_sequence,from,from_id,to,to_id,delay_minutes,status,line,type,scheduled_date,scheduled_time,actual_date,actual_time,week_day
1066390,1217600,5126,16.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,0.0,estimated,Raritan Valley,NJ Transit,2019-12-06,10:09:00,2019-12-06,10:08:00,Fri
1068800,1220295,5132,15.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,0.0,estimated,Raritan Valley,NJ Transit,2019-12-06,12:12:00,2019-12-06,12:11:00,Fri
1069097,1220602,5150,15.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,0.0,estimated,Raritan Valley,NJ Transit,2019-12-06,20:02:00,2019-12-06,20:01:00,Fri
1069204,1220766,5134,15.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,0.0,estimated,Raritan Valley,NJ Transit,2019-12-06,13:12:00,2019-12-06,13:11:00,Fri
1070233,1221890,5170,20.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,19.0,estimated,Raritan Valley,NJ Transit,2019-12-06,11:10:00,2019-12-06,11:29:00,Fri
1070560,1222235,5176,21.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,0.0,estimated,Raritan Valley,NJ Transit,2019-12-06,14:13:00,2019-12-06,14:12:00,Fri
1073176,1225099,5154,15.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,0.0,estimated,Raritan Valley,NJ Transit,2019-12-06,22:10:00,2019-12-06,22:09:00,Fri
1073655,1225626,5152,15.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,1.0000000000000002,estimated,Raritan Valley,NJ Transit,2019-12-06,21:13:00,2019-12-06,21:14:00,Fri
1083092,1235942,5154,15.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,4.000000000000001,estimated,Raritan Valley,NJ Transit,2019-12-09,22:10:00,2019-12-09,22:14:00,Mon
1083535,1236431,5152,15.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,11.0,estimated,Raritan Valley,NJ Transit,2019-12-09,21:13:00,2019-12-09,21:24:00,Mon
1086304,1239423,5170,20.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,0.0,estimated,Raritan Valley,NJ Transit,2019-12-09,11:10:00,2019-12-09,11:10:00,Mon
1086655,1239811,5176,21.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,0.0,estimated,Raritan Valley,NJ Transit,2019-12-09,14:13:00,2019-12-09,14:12:00,Mon
1087253,1240493,5132,15.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,0.0,estimated,Raritan Valley,NJ Transit,2019-12-09,12:12:00,2019-12-09,12:11:00,Mon
1087569,1240833,5150,15.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,19.0,estimated,Raritan Valley,NJ Transit,2019-12-09,20:02:00,2019-12-09,20:21:00,Mon
1087691,1240988,5134,15.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,0.0,estimated,Raritan Valley,NJ Transit,2019-12-09,13:12:00,2019-12-09,13:11:00,Mon
1091474,1245166,5126,16.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,0.0,estimated,Raritan Valley,NJ Transit,2019-12-09,10:09:00,2019-12-09,10:08:00,Mon
1092516,1246330,5126,16.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,1.0000000000000002,estimated,Raritan Valley,NJ Transit,2019-12-10,10:09:00,2019-12-10,10:10:00,Tue
1094739,1248759,5132,15.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,0.0,estimated,Raritan Valley,NJ Transit,2019-12-10,12:12:00,2019-12-10,12:11:00,Tue
1095037,1249113,5150,15.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,2.0000000000000004,estimated,Raritan Valley,NJ Transit,2019-12-10,20:02:00,2019-12-10,20:04:00,Tue
1095408,1249542,5134,15.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,0.0,estimated,Raritan Valley,NJ Transit,2019-12-10,13:12:00,2019-12-10,13:11:00,Tue
1096118,1250368,5170,20.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,0.0,estimated,Raritan Valley,NJ Transit,2019-12-10,11:10:00,2019-12-10,11:09:00,Tue
1096958,1251263,5176,21.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,0.0,estimated,Raritan Valley,NJ Transit,2019-12-10,14:13:00,2019-12-10,14:12:00,Tue
1098873,1253313,5154,15.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,0.0,estimated,Raritan Valley,NJ Transit,2019-12-10,22:10:00,2019-12-10,22:09:00,Tue
1099527,1254042,5152,15.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,23.0,estimated,Raritan Valley,NJ Transit,2019-12-10,21:13:00,2019-12-10,21:36:00,Tue
1101057,1255755,5126,16.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,8.000000000000002,estimated,Raritan Valley,NJ Transit,2019-12-11,10:09:00,2019-12-11,10:17:00,Wed
1102461,1257347,5134,15.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,0.0,estimated,Raritan Valley,NJ Transit,2019-12-11,13:12:00,2019-12-11,13:11:00,Wed
1102801,1257716,5150,15.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,0.0,estimated,Raritan Valley,NJ Transit,2019-12-11,20:02:00,2019-12-11,20:01:00,Wed
1103114,1258098,5132,15.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,0.0,estimated,Raritan Valley,NJ Transit,2019-12-11,12:12:00,2019-12-11,12:11:00,Wed
1105176,1260403,5176,21.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,32.00000000000001,estimated,Raritan Valley,NJ Transit,2019-12-11,14:13:00,2019-12-11,14:45:00,Wed
1106111,1261353,5170,20.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,0.0,estimated,Raritan Valley,NJ Transit,2019-12-11,11:10:00,2019-12-11,11:09:00,Wed
1106704,1261990,5152,15.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,0.0,estimated,Raritan Valley,NJ Transit,2019-12-11,21:13:00,2019-12-11,21:12:00,Wed
1107435,1262806,5154,15.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,0.0,estimated,Raritan Valley,NJ Transit,2019-12-11,22:10:00,2019-12-11,22:09:00,Wed
1109836,1265546,5154,15.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,0.0,estimated,Raritan Valley,NJ Transit,2019-12-12,22:10:00,2019-12-12,22:09:00,Thu
1110301,1266032,5152,15.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,0.0,estimated,Raritan Valley,NJ Transit,2019-12-12,21:13:00,2019-12-12,21:12:00,Thu
1110827,1266573,5170,20.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,0.0,estimated,Raritan Valley,NJ Transit,2019-12-12,11:10:00,2019-12-12,11:09:00,Thu
1111145,1266936,5176,21.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,0.0,estimated,Raritan Valley,NJ Transit,2019-12-12,14:13:00,2019-12-12,14:13:00,Thu
1113741,1269883,5150,15.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,0.0,estimated,Raritan Valley,NJ Transit,2019-12-12,20:02:00,2019-12-12,20:01:00,Thu
1114039,1270252,5132,15.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,0.0,estimated,Raritan Valley,NJ Transit,2019-12-12,12:12:00,2019-12-12,12:11:00,Thu
1114487,1270794,5134,15.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,0.0,estimated,Raritan Valley,NJ Transit,2019-12-12,13:12:00,2019-12-12,13:11:00,Thu
1115255,1271703,5126,16.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,0.0,estimated,Raritan Valley,NJ Transit,2019-12-12,10:09:00,2019-12-12,10:08:00,Thu
1116875,1273507,5152,15.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,0.0,estimated,Raritan Valley,NJ Transit,2019-12-13,21:13:00,2019-12-13,21:12:00,Fri
1117289,1273957,5154,15.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,0.0,estimated,Raritan Valley,NJ Transit,2019-12-13,22:10:00,2019-12-13,22:09:00,Fri
1120171,1277153,5176,21.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,0.0,estimated,Raritan Valley,NJ Transit,2019-12-13,14:13:00,2019-12-13,14:12:00,Fri
1120511,1277515,5170,20.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,0.0,estimated,Raritan Valley,NJ Transit,2019-12-13,11:10:00,2019-12-13,11:09:00,Fri
1120987,1278010,5134,15.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,0.0,estimated,Raritan Valley,NJ Transit,2019-12-13,13:12:00,2019-12-13,13:11:00,Fri
1121502,1278621,5132,15.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,0.0,estimated,Raritan Valley,NJ Transit,2019-12-13,12:12:00,2019-12-13,12:11:00,Fri
1121847,1279030,5150,15.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,0.0,estimated,Raritan Valley,NJ Transit,2019-12-13,20:02:00,2019-12-13,20:01:00,Fri
1124655,1282142,5126,16.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,0.0,estimated,Raritan Valley,NJ Transit,2019-12-13,10:09:00,2019-12-13,10:08:00,Fri
1135264,1294008,5134,15.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,0.0,estimated,Raritan Valley,NJ Transit,2019-12-16,13:12:00,2019-12-16,13:11:00,Mon
1135751,1294592,5132,15.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,0.0,estimated,Raritan Valley,NJ Transit,2019-12-16,12:12:00,2019-12-16,12:11:00,Mon
1135998,1294987,5150,15.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,2.0000000000000004,estimated,Raritan Valley,NJ Transit,2019-12-16,20:02:00,2019-12-16,20:04:00,Mon
