level_0,index,train_id,stop_sequence,from,from_id,to,to_id,delay_minutes,status,line,type,scheduled_date,scheduled_time,actual_date,actual_time,week_day
9537,11349,6406,16.0,Newark Broad Street,106.0,New York Penn Station,105.0,0.0,estimated,Gladstone Branch,NJ Transit,2019-01-03,07:28:00,2019-01-03,07:27:00,Thu
14537,17112,6410,16.0,Brick Church,23.0,New York Penn Station,105.0,4.0,estimated,Gladstone Branch,NJ Transit,2019-01-03,08:11:00,2019-01-03,08:15:00,Thu
18774,21889,6406,16.0,Newark Broad Street,106.0,New York Penn Station,105.0,0.0,estimated,Gladstone Branch,NJ Transit,2019-01-04,07:28:00,2019-01-04,07:27:00,Fri
21681,25171,6410,16.0,Brick Church,23.0,New York Penn Station,105.0,0.0,estimated,Gladstone Branch,NJ Transit,2019-01-04,08:11:00,2019-01-04,08:11:00,Fri
35017,40131,6410,16.0,Brick Church,23.0,New York Penn Station,105.0,30.0,estimated,Gladstone Branch,NJ Transit,2019-01-07,08:11:00,2019-01-07,08:41:00,Mon
38200,43810,6406,16.0,Newark Broad Street,106.0,New York Penn Station,105.0,0.0,estimated,Gladstone Branch,NJ Transit,2019-01-07,07:28:00,2019-01-07,07:28:00,Mon
43027,49120,6406,16.0,Newark Broad Street,106.0,New York Penn Station,105.0,0.0,estimated,Gladstone Branch,NJ Transit,2019-01-08,07:28:00,2019-01-08,07:28:00,Tue
46036,52504,6410,16.0,Brick Church,23.0,New York Penn Station,105.0,4.0,estimated,Gladstone Branch,NJ Transit,2019-01-08,08:11:00,2019-01-08,08:15:00,Tue
52389,59654,6406,16.0,Newark Broad Street,106.0,New York Penn Station,105.0,0.0,estimated,Gladstone Branch,NJ Transit,2019-01-09,07:28:00,2019-01-09,07:27:00,Wed
53363,60874,6410,16.0,Brick Church,23.0,New York Penn Station,105.0,1.0,estimated,Gladstone Branch,NJ Transit,2019-01-09,08:11:00,2019-01-09,08:12:00,Wed
60537,69251,6410,16.0,Brick Church,23.0,New York Penn Station,105.0,2.0,estimated,Gladstone Branch,NJ Transit,2019-01-10,08:11:00,2019-01-10,08:13:00,Thu
61572,70541,6406,16.0,Newark Broad Street,106.0,New York Penn Station,105.0,1.0,estimated,Gladstone Branch,NJ Transit,2019-01-10,07:28:00,2019-01-10,07:29:00,Thu
67338,77045,6410,16.0,Brick Church,23.0,New York Penn Station,105.0,16.0,estimated,Gladstone Branch,NJ Transit,2019-01-11,08:11:00,2019-01-11,08:27:00,Fri
70288,80377,6406,16.0,Newark Broad Street,106.0,New York Penn Station,105.0,0.0,estimated,Gladstone Branch,NJ Transit,2019-01-11,07:28:00,2019-01-11,07:28:00,Fri
81592,92728,6406,16.0,Newark Broad Street,106.0,New York Penn Station,105.0,0.0,estimated,Gladstone Branch,NJ Transit,2019-01-14,07:28:00,2019-01-14,07:27:00,Mon
88989,101471,6410,16.0,Brick Church,23.0,New York Penn Station,105.0,63.0,estimated,Gladstone Branch,NJ Transit,2019-01-14,08:11:00,2019-01-14,09:14:00,Mon
91269,104069,6406,16.0,Newark Broad Street,106.0,New York Penn Station,105.0,6.0,estimated,Gladstone Branch,NJ Transit,2019-01-15,07:28:00,2019-01-15,07:34:00,Tue
95984,109397,6410,16.0,Brick Church,23.0,New York Penn Station,105.0,3.0,estimated,Gladstone Branch,NJ Transit,2019-01-15,08:11:00,2019-01-15,08:14:00,Tue
98593,112354,6410,16.0,Brick Church,23.0,New York Penn Station,105.0,16.0,estimated,Gladstone Branch,NJ Transit,2019-01-16,08:11:00,2019-01-16,08:27:00,Wed
103753,118287,6406,16.0,Newark Broad Street,106.0,New York Penn Station,105.0,0.0,estimated,Gladstone Branch,NJ Transit,2019-01-16,07:28:00,2019-01-16,07:27:00,Wed
106371,121164,6410,16.0,Brick Church,23.0,New York Penn Station,105.0,11.0,estimated,Gladstone Branch,NJ Transit,2019-01-17,08:11:00,2019-01-17,08:22:00,Thu
113441,129106,6406,16.0,Newark Broad Street,106.0,New York Penn Station,105.0,1.0,estimated,Gladstone Branch,NJ Transit,2019-01-17,07:28:00,2019-01-17,07:29:00,Thu
114341,130095,6406,16.0,Newark Broad Street,106.0,New York Penn Station,105.0,0.0,estimated,Gladstone Branch,NJ Transit,2019-01-18,07:28:00,2019-01-18,07:27:00,Fri
121839,138650,6410,16.0,Brick Church,23.0,New York Penn Station,105.0,0.0,estimated,Gladstone Branch,NJ Transit,2019-01-18,08:11:00,2019-01-18,08:11:00,Fri
