index,train_id,stop_sequence,from,from_id,to,to_id,delay_minutes,status,line,type,scheduled_date,scheduled_time,actual_date,actual_time,week_day
3043480,6410,16.0,Brick Church,23.0,New York Penn Station,105.0,0.0,estimated,Gladstone Branch,NJ Transit,2018-03-16,08:11:00,2018-03-16,08:11:00,Fri
3055622,6410,16.0,Brick Church,23.0,New York Penn Station,105.0,1.0,estimated,Gladstone Branch,NJ Transit,2018-03-19,08:11:00,2018-03-19,08:12:00,Mon
3064668,6406,16.0,Newark Broad Street,106.0,New York Penn Station,105.0,0.0,estimated,Gladstone Branch,NJ Transit,2018-03-19,07:28:00,2018-03-19,07:27:00,Mon
3066593,6406,16.0,Newark Broad Street,106.0,New York Penn Station,105.0,0.0,estimated,Gladstone Branch,NJ Transit,2018-03-20,07:28:00,2018-03-20,07:27:00,Tue
3075039,6410,16.0,Brick Church,23.0,New York Penn Station,105.0,0.0,estimated,Gladstone Branch,NJ Transit,2018-03-20,08:11:00,2018-03-20,08:10:00,Tue
3078362,8406,22.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,11.0,estimated,Gladstone Branch,NJ Transit,2018-03-21,07:54:00,2018-03-21,08:05:00,Wed
3081749,8404,22.0,Secaucus Upper Lvl,38187.0,New York Penn Station,105.0,1.0,estimated,Gladstone Branch,NJ Transit,2018-03-21,07:11:00,2018-03-21,07:12:00,Wed
3084515,6410,16.0,Brick Church,23.0,New York Penn Station,105.0,8.0,estimated,Gladstone Branch,NJ Transit,2018-03-22,08:11:00,2018-03-22,08:19:00,Thu
3090650,6406,16.0,Newark Broad Street,106.0,New York Penn Station,105.0,0.0,estimated,Gladstone Branch,NJ Transit,2018-03-22,07:28:00,2018-03-22,07:27:00,Thu
3092756,6410,16.0,Brick Church,23.0,New York Penn Station,105.0,0.0,estimated,Gladstone Branch,NJ Transit,2018-03-23,08:11:00,2018-03-23,08:11:00,Fri
3101682,6406,16.0,Newark Broad Street,106.0,New York Penn Station,105.0,0.0,estimated,Gladstone Branch,NJ Transit,2018-03-23,07:28:00,2018-03-23,07:27:00,Fri
3116109,6406,16.0,Newark Broad Street,106.0,New York Penn Station,105.0,0.0,estimated,Gladstone Branch,NJ Transit,2018-03-26,07:28:00,2018-03-26,07:27:00,Mon
3119876,6410,16.0,Brick Church,23.0,New York Penn Station,105.0,0.0,estimated,Gladstone Branch,NJ Transit,2018-03-26,08:11:00,2018-03-26,08:11:00,Mon
3127928,6406,16.0,Newark Broad Street,106.0,New York Penn Station,105.0,0.0,estimated,Gladstone Branch,NJ Transit,2018-03-27,07:28:00,2018-03-27,07:27:00,Tue
3129051,6410,16.0,Brick Church,23.0,New York Penn Station,105.0,3.0,estimated,Gladstone Branch,NJ Transit,2018-03-27,08:11:00,2018-03-27,08:14:00,Tue
3138131,6410,16.0,Brick Church,23.0,New York Penn Station,105.0,3.0,estimated,Gladstone Branch,NJ Transit,2018-03-28,08:11:00,2018-03-28,08:14:00,Wed
3139063,6406,16.0,Newark Broad Street,106.0,New York Penn Station,105.0,0.0,estimated,Gladstone Branch,NJ Transit,2018-03-28,07:28:00,2018-03-28,07:28:00,Wed
3146159,6410,16.0,Brick Church,23.0,New York Penn Station,105.0,0.0,estimated,Gladstone Branch,NJ Transit,2018-03-29,08:11:00,2018-03-29,08:10:00,Thu
3149931,6406,16.0,Newark Broad Street,106.0,New York Penn Station,105.0,0.0,estimated,Gladstone Branch,NJ Transit,2018-03-29,07:28:00,2018-03-29,07:27:00,Thu
3155853,6406,16.0,Newark Broad Street,106.0,New York Penn Station,105.0,0.0,estimated,Gladstone Branch,NJ Transit,2018-03-30,07:28:00,2018-03-30,07:27:00,Fri
3159975,6410,16.0,Brick Church,23.0,New York Penn Station,105.0,4.0,estimated,Gladstone Branch,NJ Transit,2018-03-30,08:11:00,2018-03-30,08:15:00,Fri
3173507,6410,16.0,Brick Church,23.0,New York Penn Station,105.0,4.0,estimated,Gladstone Branch,NJ Transit,2018-05-01,08:11:00,2018-05-01,08:15:00,Tue
3174434,6406,16.0,Newark Broad Street,106.0,New York Penn Station,105.0,1.0,estimated,Gladstone Branch,NJ Transit,2018-05-01,07:28:00,2018-05-01,07:29:00,Tue
3182346,6406,16.0,Newark Broad Street,106.0,New York Penn Station,105.0,14.0,estimated,Gladstone Branch,NJ Transit,2018-05-02,07:28:00,2018-05-02,07:42:00,Wed
3183779,6410,16.0,Brick Church,23.0,New York Penn Station,105.0,30.0,estimated,Gladstone Branch,NJ Transit,2018-05-02,08:11:00,2018-05-02,08:41:00,Wed
3191924,6406,16.0,Newark Broad Street,106.0,New York Penn Station,105.0,4.0,estimated,Gladstone Branch,NJ Transit,2018-05-03,07:28:00,2018-05-03,07:32:00,Thu
3195258,6410,16.0,Brick Church,23.0,New York Penn Station,105.0,2.0,estimated,Gladstone Branch,NJ Transit,2018-05-03,08:11:00,2018-05-03,08:13:00,Thu
3200199,6406,16.0,Newark Broad Street,106.0,New York Penn Station,105.0,11.0,estimated,Gladstone Branch,NJ Transit,2018-05-04,07:28:00,2018-05-04,07:39:00,Fri
3206651,6410,16.0,Brick Church,23.0,New York Penn Station,105.0,8.0,estimated,Gladstone Branch,NJ Transit,2018-05-04,08:11:00,2018-05-04,08:19:00,Fri
3220651,6410,16.0,Brick Church,23.0,New York Penn Station,105.0,5.0,estimated,Gladstone Branch,NJ Transit,2018-05-07,08:11:00,2018-05-07,08:16:00,Mon
3226668,6406,16.0,Newark Broad Street,106.0,New York Penn Station,105.0,0.0,estimated,Gladstone Branch,NJ Transit,2018-05-07,07:28:00,2018-05-07,07:27:00,Mon
3230516,6406,16.0,Newark Broad Street,106.0,New York Penn Station,105.0,0.0,estimated,Gladstone Branch,NJ Transit,2018-05-08,07:28:00,2018-05-08,07:27:00,Tue
3236747,6410,16.0,Brick Church,23.0,New York Penn Station,105.0,0.0,estimated,Gladstone Branch,NJ Transit,2018-05-08,08:11:00,2018-05-08,08:11:00,Tue
3239908,6406,16.0,Newark Broad Street,106.0,New York Penn Station,105.0,2.0,estimated,Gladstone Branch,NJ Transit,2018-05-09,07:28:00,2018-05-09,07:30:00,Wed
3248620,6410,16.0,Brick Church,23.0,New York Penn Station,105.0,6.0,estimated,Gladstone Branch,NJ Transit,2018-05-09,08:11:00,2018-05-09,08:17:00,Wed
3249765,6410,16.0,Brick Church,23.0,New York Penn Station,105.0,5.0,estimated,Gladstone Branch,NJ Transit,2018-05-10,08:11:00,2018-05-10,08:16:00,Thu
3258328,6406,16.0,Newark Broad Street,106.0,New York Penn Station,105.0,14.0,estimated,Gladstone Branch,NJ Transit,2018-05-10,07:28:00,2018-05-10,07:42:00,Thu
3259985,6410,16.0,Brick Church,23.0,New York Penn Station,105.0,2.0,estimated,Gladstone Branch,NJ Transit,2018-05-11,08:11:00,2018-05-11,08:13:00,Fri
3266362,6406,16.0,Newark Broad Street,106.0,New York Penn Station,105.0,0.0,estimated,Gladstone Branch,NJ Transit,2018-05-11,07:28:00,2018-05-11,07:27:00,Fri
3283659,6406,16.0,Newark Broad Street,106.0,New York Penn Station,105.0,0.0,estimated,Gladstone Branch,NJ Transit,2018-05-14,07:28:00,2018-05-14,07:27:00,Mon
3284730,6410,16.0,Brick Church,23.0,New York Penn Station,105.0,6.0,estimated,Gladstone Branch,NJ Transit,2018-05-14,08:11:00,2018-05-14,08:17:00,Mon
3292877,6406,16.0,Newark Broad Street,106.0,New York Penn Station,105.0,0.0,estimated,Gladstone Branch,NJ Transit,2018-05-15,07:28:00,2018-05-15,07:27:00,Tue
3296560,6410,16.0,Brick Church,23.0,New York Penn Station,105.0,0.0,estimated,Gladstone Branch,NJ Transit,2018-05-15,08:11:00,2018-05-15,08:11:00,Tue
3302417,6410,16.0,Brick Church,23.0,New York Penn Station,105.0,0.0,estimated,Gladstone Branch,NJ Transit,2018-05-16,08:11:00,2018-05-16,08:11:00,Wed
3306073,6406,16.0,Newark Broad Street,106.0,New York Penn Station,105.0,0.0,estimated,Gladstone Branch,NJ Transit,2018-05-16,07:28:00,2018-05-16,07:27:00,Wed
3313872,6410,16.0,Brick Church,23.0,New York Penn Station,105.0,0.0,estimated,Gladstone Branch,NJ Transit,2018-05-17,08:11:00,2018-05-17,08:10:00,Thu
